PlacemarkName,Kelurahan,Kecamatan,Kota,Provinsi,"Center Latitude","Center Longitude","Center Polygon","Status Polygon",Polygon
MAGERSARI,,,,,,,,,"POLYGON((112.4442999990467 -7.462900002532308, 112.4442999990467 -7.46279999882006, 112.4442000016298 -7.460000000998433, 112.4442000016298 -7.459899999084882, 112.4440999997163 -7.459800001667929, 112.4440999997163 -7.459699999754378, 112.4440999997163 -7.459300000194049, 112.4440999997163 -7.459199997381177, 112.4442999990467 -7.459100001762862, 112.4444000009603 -7.458899999734399, 112.4444999983773 -7.458799998720167, 112.4444999983773 -7.458600000288982, 112.4444999983773 -7.458400000958476, 112.4444999983773 -7.458299998145606, 112.4444000009603 -7.458199999829334, 112.4442999990467 -7.458000000498828, 112.4442000016298 -7.457899998585276, 112.4440999997163 -7.457800002067643, 112.4438999994865 -7.457800002067643, 112.4437999975729 -7.457400002507313, 112.4435999991417 -7.457400002507313, 112.4431000012651 -7.457499999024948, 112.4430000002509 -7.45719999778089, 112.4433000014949 -7.457099999464618, 112.4431999995813 -7.456700001702927, 112.4430000002509 -7.456300001243279, 112.4428999992366 -7.456399999559551, 112.4428999992366 -7.456200000229045, 112.4426999990068 -7.455899998984933, 112.4425999997912 -7.455600001338212, 112.442000002699 -7.454899999634449, 112.4415999995414 -7.455200002677202, 112.4402999998462 -7.456099999214814, 112.4389999992516 -7.456700001702927, 112.4382000010303 -7.457299999694442, 112.4375000002259 -7.457600000938498, 112.4369000022343 -7.458000000498828, 112.4358000009703 -7.458700001303214, 112.4354999997263 -7.458999998949992, 112.4343000019446 -7.459699999754378, 112.433899998787 -7.459800001667929, 112.4329000012351 -7.460099998415386, 112.4319999993015 -7.460200000328939, 112.4319999993015 -7.460800000119094, 112.4319999993015 -7.46109999956451, 112.4319999993015 -7.461899999584489, 112.4319999993015 -7.462199999929226, 112.4319999993015 -7.462400000159051, 112.4319999993015 -7.462600000388875, 112.4319999993015 -7.462900002532308, 112.4319999993015 -7.463399999509592, 112.4319999993015 -7.464000001997705, 112.4321999995313 -7.464000001997705, 112.4327000010053 -7.464000001997705, 112.4336000011402 -7.464000001997705, 112.4338000004707 -7.464000001997705, 112.4343000019446 -7.464000001997705, 112.4349999991517 -7.464000001997705, 112.4353000003957 -7.464000001997705, 112.4353000003957 -7.463199999279766, 112.4353000003957 -7.462999999949261, 112.4353000003957 -7.462099998914994, 112.4353000003957 -7.461800001268216, 112.4353000003957 -7.461700000253984, 112.4354000005106 -7.461700000253984, 112.4356000016398 -7.461500000024159, 112.4358999992866 -7.461399998110608, 112.4358999992866 -7.461300000693656, 112.4360000003009 -7.461399998110608, 112.4360000003009 -7.461599998340431, 112.4365000017747 -7.461500000024159, 112.4367000020045 -7.461500000024159, 112.4367999994215 -7.461500000024159, 112.4369000022343 -7.461500000024159, 112.4369000022343 -7.461300000693656, 112.4369000022343 -7.461199999679422, 112.4369000022343 -7.460999999449598, 112.4367999994215 -7.460900000234004, 112.4367999994215 -7.460800000119094, 112.436999998752 -7.46070000180282, 112.4371999989818 -7.460599999889268, 112.4373999983123 -7.460400000558765, 112.4376000021394 -7.460400000558765, 112.4378000014699 -7.460200000328939, 112.4380000016997 -7.460800000119094, 112.4380000016997 -7.460900000234004, 112.4380999991167 -7.460900000234004, 112.4384000012601 -7.460900000234004, 112.4387999990217 -7.460900000234004, 112.4391000011651 -7.460900000234004, 112.4391999985821 -7.460900000234004, 112.4393000004957 -7.460900000234004, 112.4395000007255 -7.460900000234004, 112.4395999981424 -7.460900000234004, 112.4395999981424 -7.460599999889268, 112.4395999981424 -7.460499997076397, 112.4395999981424 -7.460400000558765, 112.4397000000561 -7.460400000558765, 112.4399000002859 -7.460400000558765, 112.4402000006306 -7.460400000558765, 112.4404000008604 -7.460299999544531, 112.4406999985072 -7.460299999544531, 112.4409999997513 -7.460200000328939, 112.4409999997513 -7.460299999544531, 112.4409999997513 -7.460999999449598, 112.4409999997513 -7.46109999956451, 112.4411000016648 -7.461500000024159, 112.4411000016648 -7.461599998340431, 112.4411000016648 -7.462199999929226, 112.4411999990817 -7.462400000159051, 112.4413999993116 -7.462600000388875, 112.4413999993116 -7.462699997805828, 112.4416999996563 -7.462999999949261, 112.4422000002309 -7.462999999949261, 112.4428000000211 -7.462999999949261, 112.4433999980125 -7.462999999949261, 112.4435000017247 -7.462999999949261, 112.4437000019545 -7.462900002532308, 112.4442000016298 -7.462900002532308, 112.4442999990467 -7.462900002532308))"
MAGERSARI,MAGERSARI,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.45945,112.43825,"POINT(112.43825 -7.45945)","Polygon Tersedia",
MENTIKAN,,,,,,,,,"POLYGON((112.4292000005806 -7.466200000928495, 112.4292000005806 -7.466099999014943, 112.4290000012501 -7.464999999549548, 112.4290000012501 -7.464800000219042, 112.4290000012501 -7.464699998305491, 112.4290000012501 -7.464400000658713, 112.4291000004657 -7.464099999414658, 112.4290000012501 -7.463899999184832, 112.4288999993365 -7.463599998840095, 112.4288000010202 -7.463199999279766, 112.4287000000061 -7.463100000963493, 112.4287000000061 -7.462900002532308, 112.4288000010202 -7.462600000388875, 112.4287000000061 -7.462600000388875, 112.4285999980925 -7.462499998475323, 112.428399998762 -7.462400000159051, 112.4283000013451 -7.462699997805828, 112.4281000011152 -7.462999999949261, 112.4279000008854 -7.463399999509592, 112.4274000012101 -7.464000001997705, 112.4270999981675 -7.464200001328209, 112.4266000020895 -7.464699998305491, 112.4259000012851 -7.46510000236242, 112.4244000022594 -7.466099999014943, 112.4241999984322 -7.466300000144089, 112.4240999992167 -7.466499999474593, 112.4240999992167 -7.466800001617969, 112.424000000001 -7.467200000278979, 112.4239000007855 -7.46770000085354, 112.4239000007855 -7.467900000184044, 112.4239000007855 -7.46810000041387, 112.4239000007855 -7.468600001887751, 112.4246000015899 -7.468400001657926, 112.4252000004807 -7.468299998845055, 112.4261000015149 -7.467999999399638, 112.4270000007505 -7.467799998270493, 112.4274000012101 -7.467599998939988, 112.4277000015549 -7.467599998939988, 112.4278000007705 -7.467500001523035, 112.4279000008854 -7.467500001523035, 112.4279999992017 -7.467599998939988, 112.428399998762 -7.468199997830823, 112.4288999993365 -7.468999999649441, 112.4290000012501 -7.469400000109091, 112.4290000012501 -7.469900001583029, 112.4288999993365 -7.471099998465377, 112.4288999993365 -7.47170000095349, 112.4288999993365 -7.471799999269763, 112.4288999993365 -7.472000000398907, 112.4288999993365 -7.472100000513819, 112.4288000010202 -7.472399998160597, 112.4288000010202 -7.472500000074149, 112.4288999993365 -7.472399998160597, 112.4298000003707 -7.472399998160597, 112.4307999979226 -7.472399998160597, 112.4307999979226 -7.472300000743644, 112.4307999979226 -7.472199998830092, 112.4307999979226 -7.472000000398907, 112.4307999979226 -7.471900001183315, 112.4307999979226 -7.47170000095349, 112.4308999989369 -7.47170000095349, 112.431100000066 -7.47170000095349, 112.4314000013101 -7.47170000095349, 112.4319999993015 -7.471799999269763, 112.4319999993015 -7.471199999479608, 112.4319999993015 -7.471099998465377, 112.4319999993015 -7.470699999804366, 112.4319999993015 -7.470499999574542, 112.4319999993015 -7.470100000913533, 112.4319999993015 -7.469500000224001, 112.4319999993015 -7.468699999304704, 112.4319999993015 -7.467900000184044, 112.4319999993015 -7.467300001293211, 112.4319999993015 -7.466699998805097, 112.4319999993015 -7.466300000144089, 112.4316999998562 -7.466300000144089, 112.4298000003707 -7.466200000928495, 112.4296999984572 -7.466200000928495, 112.429500000026 -7.466300000144089, 112.4292999988969 -7.46640000115832, 112.4292000005806 -7.466200000928495))"
MENTIKAN,MENTIKAN,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.46745,112.42795,"POINT(112.42795 -7.46745)","Polygon Tersedia",
MERI,,,,,,,,,"POLYGON((112.4473999999111 -7.4697999987701, 112.4472999970982 -7.4697999987701, 112.4470999995664 -7.4697999987701, 112.4468999993366 -7.4697999987701, 112.4466000016898 -7.4697999987701, 112.44640000146 -7.4697999987701, 112.445599998742 -7.4697999987701, 112.4452000009803 -7.4697999987701, 112.4450999981674 -7.470100000913533, 112.4450999981674 -7.470199998330428, 112.4450999981674 -7.470600001488094, 112.4450999981674 -7.470699999804366, 112.4449999998511 -7.471099998465377, 112.4449999998511 -7.471299998695201, 112.4449999998511 -7.471600000838578, 112.4448999988369 -7.47170000095349, 112.4448999988369 -7.471900001183315, 112.4448999988369 -7.472199998830092, 112.4448999988369 -7.472300000743644, 112.4450999981674 -7.472300000743644, 112.4450999981674 -7.472399998160597, 112.4450999981674 -7.472500000074149, 112.4442000016298 -7.472600001088381, 112.4442000016298 -7.473099998964984, 112.4440999997163 -7.473099998964984, 112.4440999997163 -7.473200000878535, 112.4440999997163 -7.473300000094128, 112.4439999996014 -7.473300000094128, 112.4439999996014 -7.47339999930972, 112.4438999994865 -7.473499998525313, 112.4438999994865 -7.473600000438864, 112.4438999994865 -7.473700002352417, 112.4439999996014 -7.473799998870049, 112.4439999996014 -7.473900001682921, 112.4439999996014 -7.473999999099874, 112.4442000016298 -7.473999999099874, 112.4442000016298 -7.473900001682921, 112.4442000016298 -7.473799998870049, 112.4442999990467 -7.473799998870049, 112.4444999983773 -7.473799998870049, 112.4446000020895 -7.473799998870049, 112.4446000020895 -7.473900001682921, 112.4446000020895 -7.473999999099874, 112.4446000020895 -7.474200000229018, 112.4446000020895 -7.474300000343931, 112.4440999997163 -7.474300000343931, 112.4440999997163 -7.474599998890028, 112.4440999997163 -7.475299998795094, 112.4439999996014 -7.475999998700161, 112.4439999996014 -7.47639999915981, 112.4439999996014 -7.476700000403866, 112.4438999994865 -7.477100000863572, 112.4438999994865 -7.477600001438134, 112.4438999994865 -7.478199999429648, 112.4437999975729 -7.478900000234034, 112.4437999975729 -7.479800000368925, 112.4437999975729 -7.480199999929255, 112.4437999975729 -7.480599999489584, 112.4437999975729 -7.480999999949233, 112.4437999975729 -7.481899999184805, 112.4437000019545 -7.481899999184805, 112.4437000019545 -7.482299998745134, 112.4437000019545 -7.482700001003423, 112.4437000019545 -7.482900001233247, 112.4437000019545 -7.482999997750881, 112.4437000019545 -7.483100001463072, 112.4437000019545 -7.483300000793577, 112.4437000019545 -7.48339999821053, 112.4437000019545 -7.483500000124081, 112.4437000019545 -7.483600002037633, 112.4437000019545 -7.483800001368138, 112.4437000019545 -7.484099999014916, 112.4437000019545 -7.484400000258972, 112.4437000019545 -7.484499998575245, 112.4437000019545 -7.484600000488854, 112.4437000019545 -7.484700000603766, 112.4437000019545 -7.484800000718678, 112.4437000019545 -7.484999999149863, 112.4437000019545 -7.485100000164095, 112.4437000019545 -7.485199999379687, 112.4437000019545 -7.485399998710193, 112.4437000019545 -7.485500000623745, 112.4437000019545 -7.48569999995425, 112.4437000019545 -7.485900000184074, 112.4437000019545 -7.486499999974228, 112.4435999991417 -7.487399999209799, 112.4435999991417 -7.487500002022671, 112.4435999991417 -7.488299999344689, 112.4435999991417 -7.488600000588747, 112.4433999980125 -7.488699999804339, 112.4433000014949 -7.488699999804339, 112.4433000014949 -7.488899998235524, 112.4433000014949 -7.489000000149075, 112.4433000014949 -7.489300001393133, 112.4433000014949 -7.489399999709405, 112.4437000019545 -7.490099999614472, 112.4437000019545 -7.490299999844297, 112.4435999991417 -7.49050000007412, 112.4435999991417 -7.490600001088354, 112.4437999975729 -7.490600001088354, 112.4457999989718 -7.491199999979187, 112.4468000010203 -7.4915000012233, 112.4470000003508 -7.491599999539517, 112.4494999978277 -7.492300000343961, 112.4494999978277 -7.492199999329727, 112.4495999997413 -7.491700001453125, 112.4497000025541 -7.491300001892796, 112.4497999990717 -7.490299999844297, 112.4499000009853 -7.489500000723639, 112.4499999993016 -7.488699999804339, 112.4501000012151 -7.488000000798594, 112.4501999995314 -7.487199998979974, 112.4501999995314 -7.48700000054879, 112.4503000005457 -7.486499999974228, 112.4503999988619 -7.485800001867801, 112.4505000007755 -7.485500000623745, 112.4508000020195 -7.481899999184805, 112.4508000020195 -7.4816999998543, 112.4508999994365 -7.481499998725155, 112.4508999994365 -7.481299999394651, 112.4510000013501 -7.480999999949233, 112.4512000006805 -7.480199999929255, 112.4514000018097 -7.479600000139101, 112.4514000018097 -7.479499999124869, 112.451499997428 -7.479300000693684, 112.4516000002409 -7.478999998550308, 112.4519000023843 -7.477899997286215, 112.4519000023843 -7.47780000076864, 112.4519999998012 -7.477699997955709, 112.4519999998012 -7.477600001438134, 112.4519999998012 -7.477499999524525, 112.4521000017147 -7.477200001877804, 112.4521999991317 -7.477100000863572, 112.4523000010453 -7.476900000633691, 112.4523000010453 -7.476799997820818, 112.4523999984622 -7.476799997820818, 112.4525000003757 -7.476799997820818, 112.452599998692 -7.476799997820818, 112.4527999971232 -7.476799997820818, 112.4527999971232 -7.476700000403866, 112.4527999971232 -7.476300000843537, 112.4527999971232 -7.475999998700161, 112.4527999971232 -7.475800000268977, 112.4528999999361 -7.475400001607966, 112.4528999999361 -7.475099998565271, 112.4528999999361 -7.474900000134084, 112.4527000006055 -7.474800001817812, 112.452599998692 -7.474900000134084, 112.4523000010453 -7.474900000134084, 112.4523000010453 -7.474599998890028, 112.4523000010453 -7.474399998660203, 112.4523000010453 -7.474200000229018, 112.4521999991317 -7.473999999099874, 112.4521000017147 -7.473900001682921, 112.4519999998012 -7.473900001682921, 112.4516000002409 -7.473900001682921, 112.451499997428 -7.473700002352417, 112.451499997428 -7.473600000438864, 112.451499997428 -7.47339999930972, 112.451499997428 -7.473200000878535, 112.4510000013501 -7.473200000878535, 112.4510000013501 -7.473099998964984, 112.4510000013501 -7.472399998160597, 112.4510000013501 -7.472000000398907, 112.4497999990717 -7.472199998830092, 112.4493999995115 -7.472199998830092, 112.4483000000461 -7.472300000743644, 112.4485000002759 -7.471399999709433, 112.4486000012901 -7.470499999574542, 112.4485000002759 -7.470400002157589, 112.4486000012901 -7.469999998100604, 112.4481999990318 -7.469900001583029, 112.4475000018247 -7.4697999987701, 112.4473999999111 -7.4697999987701))"
MERI,MERI,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.48105,112.4481,"POINT(112.4481 -7.48105)","Polygon Tersedia",
MIJI,,,,,,,,,"POLYGON((112.4319999993015 -7.471799999269763, 112.4314000013101 -7.47170000095349, 112.431100000066 -7.47170000095349, 112.4308999989369 -7.47170000095349, 112.4307999979226 -7.47170000095349, 112.4307999979226 -7.471900001183315, 112.4307999979226 -7.472000000398907, 112.4307999979226 -7.472199998830092, 112.4307999979226 -7.472300000743644, 112.4307999979226 -7.472399998160597, 112.4298000003707 -7.472399998160597, 112.4288999993365 -7.472399998160597, 112.4288000010202 -7.472500000074149, 112.4288000010202 -7.472600001088381, 112.4287000000061 -7.472800001318205, 112.4285999980925 -7.473300000094128, 112.4285000006755 -7.473600000438864, 112.428399998762 -7.473999999099874, 112.428399998762 -7.474200000229018, 112.4283000013451 -7.474599998890028, 112.4281999994315 -7.475099998565271, 112.4281000011152 -7.475900003081848, 112.4279999992017 -7.47639999915981, 112.4279000008854 -7.476900000633691, 112.4278000007705 -7.477600001438134, 112.4275999996413 -7.478100002012694, 112.4274000012101 -7.478799999219802, 112.4272999983973 -7.478799999219802, 112.4272000009803 -7.479099999564539, 112.4268999997363 -7.479600000139101, 112.4268999997363 -7.479800000368925, 112.4266999995065 -7.480099998015703, 112.4266000020895 -7.480199999929255, 112.4265000001759 -7.480400000159078, 112.4265000001759 -7.480500002072631, 112.4263999982624 -7.480599999489584, 112.4263999982624 -7.480700001403136, 112.4263000008455 -7.480799997920769, 112.4263000008455 -7.480999999949233, 112.4265000001759 -7.480900000733641, 112.4272000009803 -7.480900000733641, 112.4279999992017 -7.480799997920769, 112.4285000006755 -7.480599999489584, 112.4285999980925 -7.480500002072631, 112.4285999980925 -7.480300001842807, 112.4285999980925 -7.48000000059875, 112.4287000000061 -7.479899998685198, 112.4288000010202 -7.479899998685198, 112.4288999993365 -7.479899998685198, 112.4291000004657 -7.48000000059875, 112.4292000005806 -7.480099998015703, 112.4294000008105 -7.480400000159078, 112.429500000026 -7.480500002072631, 112.4296999984572 -7.480500002072631, 112.4300000006006 -7.480599999489584, 112.4303000009453 -7.480500002072631, 112.4305999985921 -7.480400000159078, 112.4307000005057 -7.480300001842807, 112.4307000005057 -7.480199999929255, 112.4307000005057 -7.479899998685198, 112.4307000005057 -7.479300000693684, 112.4307000005057 -7.478799999219802, 112.4307000005057 -7.47870000090353, 112.4307000005057 -7.478599999889298, 112.4307999979226 -7.478500000673705, 112.4308999989369 -7.478500000673705, 112.431100000066 -7.478500000673705, 112.4312999993965 -7.478399999659473, 112.431499998727 -7.478399999659473, 112.4316000006405 -7.4783000013432, 112.4317999999711 -7.478100002012694, 112.4319999993015 -7.478000000998463, 112.4316999998562 -7.478100002012694, 112.431499998727 -7.478100002012694, 112.4312000019795 -7.478100002012694, 112.4312999993965 -7.477899997286215, 112.4312999993965 -7.47780000076864, 112.4312000019795 -7.477499999524525, 112.431100000066 -7.477499999524525, 112.4308999989369 -7.477499999524525, 112.4308999989369 -7.477200001877804, 112.4310000017497 -7.477100000863572, 112.431100000066 -7.477100000863572, 112.4310000017497 -7.477000001647979, 112.4310000017497 -7.476799997820818, 112.4308999989369 -7.476799997820818, 112.4310000017497 -7.476700000403866, 112.4310000017497 -7.476500001073362, 112.4310000017497 -7.475900003081848, 112.431499998727 -7.475900003081848, 112.4318999982873 -7.475900003081848, 112.4319999993015 -7.475900003081848, 112.4319999993015 -7.475699998355423, 112.4319999993015 -7.473999999099874, 112.4319999993015 -7.472399998160597, 112.4336999976579 -7.472600001088381, 112.4347000006056 -7.472600001088381, 112.4354999997263 -7.472600001088381, 112.4358000009703 -7.472699999404653, 112.4360000003009 -7.472699999404653, 112.4365000017747 -7.472699999404653, 112.4367000020045 -7.472699999404653, 112.4367000020045 -7.473999999099874, 112.4367000020045 -7.474100001013426, 112.4367000020045 -7.474200000229018, 112.4370999997662 -7.474300000343931, 112.4375000002259 -7.474399998660203, 112.4376999995563 -7.474399998660203, 112.4382000010303 -7.474500000573754, 112.4382999975479 -7.474500000573754, 112.4384000012601 -7.474599998890028, 112.4384000012601 -7.474800001817812, 112.4376999995563 -7.474900000134084, 112.4376999995563 -7.475099998565271, 112.4375000002259 -7.476500001073362, 112.4384000012601 -7.476500001073362, 112.4384000012601 -7.477000001647979, 112.4389000009353 -7.477000001647979, 112.439399998812 -7.476900000633691, 112.4397000000561 -7.476900000633691, 112.4397000000561 -7.477600001438134, 112.4418999998861 -7.477600001438134, 112.4430000002509 -7.477600001438134, 112.4435000017247 -7.477600001438134, 112.4438999994865 -7.477600001438134, 112.4438999994865 -7.477100000863572, 112.4439999996014 -7.476700000403866, 112.4439999996014 -7.47639999915981, 112.4439999996014 -7.475999998700161, 112.4440999997163 -7.475299998795094, 112.4440999997163 -7.474599998890028, 112.4440999997163 -7.474300000343931, 112.4438999994865 -7.474399998660203, 112.4437000019545 -7.474399998660203, 112.4433999980125 -7.474399998660203, 112.4433000014949 -7.474399998660203, 112.4428999992366 -7.474500000573754, 112.4423000003458 -7.474500000573754, 112.4423000003458 -7.474399998660203, 112.4423000003458 -7.474300000343931, 112.4423000003458 -7.474200000229018, 112.4423000003458 -7.474100001013426, 112.4418999998861 -7.473999999099874, 112.4415000003258 -7.473999999099874, 112.4413999993116 -7.473999999099874, 112.4413000009953 -7.473900001682921, 112.4411999990817 -7.473900001682921, 112.4411000016648 -7.473900001682921, 112.4409999997513 -7.473900001682921, 112.4408000004207 -7.473900001682921, 112.4406999985072 -7.473900001682921, 112.4406000001909 -7.473900001682921, 112.4404999973781 -7.473900001682921, 112.4404999973781 -7.474100001013426, 112.4400000004008 -7.474200000229018, 112.4398000019696 -7.474200000229018, 112.4397000000561 -7.474200000229018, 112.4397000000561 -7.473700002352417, 112.4397000000561 -7.473499998525313, 112.4397000000561 -7.473099998964984, 112.4397000000561 -7.472600001088381, 112.4393000004957 -7.472600001088381, 112.4384000012601 -7.472600001088381, 112.4376999995563 -7.472600001088381, 112.4376999995563 -7.472399998160597, 112.4373999983123 -7.472300000743644, 112.4369000022343 -7.472199998830092, 112.4369000022343 -7.471900001183315, 112.4367000020045 -7.471900001183315, 112.4356000016398 -7.471900001183315, 112.4347999989219 -7.471799999269763, 112.4347000006056 -7.471799999269763, 112.433899998787 -7.471799999269763, 112.4329000012351 -7.471799999269763, 112.4319999993015 -7.471799999269763))"
MIJI,MIJI,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.47635,112.4352,"POINT(112.4352 -7.47635)","Polygon Tersedia",
"PRAJURIT KULON",,,,,,,,,"POLYGON((112.4288999993365 -7.471799999269763, 112.4288999993365 -7.47170000095349, 112.4288999993365 -7.471099998465377, 112.4290000012501 -7.469900001583029, 112.4290000012501 -7.469400000109091, 112.4288999993365 -7.468999999649441, 112.428399998762 -7.468199997830823, 112.4279999992017 -7.467599998939988, 112.4279000008854 -7.467500001523035, 112.4278000007705 -7.467500001523035, 112.4277000015549 -7.467599998939988, 112.4274000012101 -7.467599998939988, 112.4270000007505 -7.467799998270493, 112.4261000015149 -7.467999999399638, 112.4252000004807 -7.468299998845055, 112.4246000015899 -7.468400001657926, 112.4239000007855 -7.468600001887751, 112.4237999997712 -7.468600001887751, 112.4237000005556 -7.468600001887751, 112.4237000005556 -7.468800001218256, 112.4235999986421 -7.468800001218256, 112.4230999980675 -7.468699999304704, 112.4224999991767 -7.468499999974199, 112.4223000007455 -7.468299998845055, 112.4221000014149 -7.468199997830823, 112.4218999993865 -7.468199997830823, 112.4214999998262 -7.468299998845055, 112.4189999996513 -7.469400000109091, 112.4188000003209 -7.469500000224001, 112.4189000022344 -7.469599999439595, 112.4189999996513 -7.469700002252523, 112.4185999991917 -7.473200000878535, 112.4197000013551 -7.473300000094128, 112.4197000013551 -7.473799998870049, 112.4197000013551 -7.475299998795094, 112.4197000013551 -7.475499998125599, 112.4197999978727 -7.475800000268977, 112.4199000006855 -7.476199999829305, 112.4200000016998 -7.47639999915981, 112.4202000010303 -7.476599998490315, 112.4206999980075 -7.476199999829305, 112.4208999982374 -7.478000000998463, 112.4208000008205 -7.478999998550308, 112.4206999980075 -7.479200001478091, 112.4206999980075 -7.479300000693684, 112.4206999980075 -7.479400000808597, 112.4206999980075 -7.479700000254013, 112.4206000005906 -7.480400000159078, 112.4204000021595 -7.480400000159078, 112.4204000021595 -7.480500002072631, 112.4201000000161 -7.481800000868532, 112.4239000007855 -7.482599999989191, 112.4244000022594 -7.481099999164826, 112.4261999989319 -7.4816999998543, 112.4263000008455 -7.480999999949233, 112.4263000008455 -7.480799997920769, 112.4263999982624 -7.480700001403136, 112.4263999982624 -7.480599999489584, 112.4265000001759 -7.480500002072631, 112.4265000001759 -7.480400000159078, 112.4266000020895 -7.480199999929255, 112.4266999995065 -7.480099998015703, 112.4268999997363 -7.479800000368925, 112.4268999997363 -7.479600000139101, 112.4272000009803 -7.479099999564539, 112.4272999983973 -7.478799999219802, 112.4274000012101 -7.478799999219802, 112.4275999996413 -7.478100002012694, 112.4278000007705 -7.477600001438134, 112.4279000008854 -7.476900000633691, 112.4279999992017 -7.47639999915981, 112.4281000011152 -7.475900003081848, 112.4281999994315 -7.475099998565271, 112.4283000013451 -7.474599998890028, 112.428399998762 -7.474200000229018, 112.428399998762 -7.473999999099874, 112.4285000006755 -7.473600000438864, 112.4285999980925 -7.473300000094128, 112.4287000000061 -7.472800001318205, 112.4288000010202 -7.472600001088381, 112.4288000010202 -7.472500000074149, 112.4288000010202 -7.472399998160597, 112.4288999993365 -7.472100000513819, 112.4288999993365 -7.472000000398907, 112.4288999993365 -7.471799999269763))"
"PRAJURIT KULON","PRAJURIT KULON","PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.47505,112.4238,"POINT(112.4238 -7.47505)","Polygon Tersedia",
